index,lat,lon,uwnd,vwnd
0,-78.375,0.125,1.733504295349121,-3.9492156505584717
10,-78.375,2.625,2.0234389305114746,-4.730513095855713
20,-78.375,5.125,2.0112311840057373,-5.069279193878174
30,-78.375,7.625,1.748763918876648,-5.585057735443115
40,-78.375,10.125,1.1780503988265991,-6.186290740966797
50,-78.375,12.625,1.2970762252807617,-5.874992370605469
60,-78.375,15.125,0.9491546154022217,-5.469083786010742
70,-78.375,17.625,0.47915521264076233,-5.066226959228516
80,-78.375,20.125,0.21973997354507446,-4.443630695343018
90,-78.375,22.625,-0.5310382843017578,-4.147592067718506
100,-78.375,25.125,-0.9644143581390381,-3.9125924110412598
110,-78.375,27.625,-0.6531160473823547,-3.5921382904052734
120,-78.375,30.125,-1.0376609563827515,-3.26252818107605
130,-78.375,32.625,-1.287920355796814,-2.7162301540374756
140,-78.375,35.125,-1.0620765686035156,-2.151620626449585
150,-78.375,37.625,-0.4455838203430176,-1.2024660110473633
160,-78.375,40.125,-0.21973997354507446,0.476103276014328
170,-78.375,42.625,-0.08850637823343277,2.154672622680664
180,-78.375,45.125,-0.119025819003582,3.0549960136413574
190,-78.375,47.625,-0.4333760738372803,3.235060691833496
200,-78.375,50.125,-0.46999937295913696,2.9512298107147217
210,-78.375,52.625,0.29603856801986694,3.6287615299224854
220,-78.375,55.125,0.08850637823343277,3.8301897048950195
230,-78.375,57.625,-0.7111029624938965,2.4385032653808594
240,-78.375,60.125,-1.6663614511489868,1.022401213645935
250,-78.375,62.625,-1.6541537046432495,1.403894305229187
260,-78.375,65.125,-1.9837636947631836,1.599218726158142
270,-78.375,67.625,-2.047854423522949,1.574803113937378
280,-78.375,70.125,-2.0112311840057373,1.6816211938858032
290,-78.375,72.625,-2.197399616241455,1.4801928997039795
300,-78.375,75.125,-2.267594337463379,1.4771409034729004
310,-78.375,77.625,-2.417139768600464,1.2146737575531006
320,-78.375,80.125,-2.5178539752960205,0.8575962781906128
330,-78.375,82.625,-2.5209057331085205,0.4242202341556549
340,-78.375,85.125,-2.508697986602783,-0.027467496693134308
350,-78.375,87.625,-2.230971097946167,-0.33571386337280273
360,-78.375,90.125,-1.7670756578445435,-0.634804368019104
370,-78.375,92.625,-0.930842936038971,-0.7385704517364502
380,-78.375,95.125,-0.14954525232315063,-0.7049990892410278
390,-78.375,97.625,0.9979857206344604,0.14038942754268646
400,-78.375,100.125,1.9868155717849731,0.9674662947654724
410,-78.375,102.625,2.569736957550049,1.6114264726638794
420,-78.375,105.125,3.045840263366699,2.1821401119232178
430,-78.375,107.625,3.1343464851379395,2.9329183101654053
440,-78.375,110.125,2.9512298107147217,3.3540866374969482
450,-78.375,112.625,3.198437452316284,3.729475736618042
460,-78.375,115.125,3.503631830215454,4.153696060180664
470,-78.375,117.625,3.3357748985290527,4.3307085037231445
480,-78.375,120.125,3.6440212726593018,4.397851467132568
490,-78.375,122.625,3.2869436740875244,3.964475393295288
500,-78.375,125.125,3.274735927581787,3.4792163372039795
